filename,time_abs(%Y-%m-%dT%H:%M:%S.%f,time_rel(sec)
XB.ELYSE.02.BHV.2021-05-02HR01_evid0017,2021-05-02T01:32:02.585000Z,1922.56
XB.ELYSE.02.BHV.2019-07-26HR12_evid0033,2019-07-26T12:22:17.610000Z,1337.6
XB.ELYSE.02.BHV.2021-10-11HR23_evid0011,2021-10-11T23:53:17.905667Z,3197.866666666667
XB.ELYSE.02.BHV.2021-10-11HR23_evid0011,2021-10-11T23:14:30.439000Z,870.4000000000001
XB.ELYSE.02.BHV.2022-04-09HR22_evid0002,2022-04-09T22:10:52.835000Z,652.8
XB.ELYSE.02.BHV.2019-07-26HR12_evid0034,2019-07-26T12:22:49.610000Z,1369.6
XB.ELYSE.02.BHV.2019-05-23HR02_evid0041,2019-05-23T02:26:50.698667Z,1610.6666666666667
XB.ELYSE.02.BHV.2022-05-04HR23_evid0001,2022-05-04T23:32:07.159111Z,1927.111111111111
XB.ELYSE.02.BHV.2021-12-24HR22_evid0007,2021-12-24T22:54:17.641000Z,3257.6
XB.ELYSE.02.BHV.2019-09-21HR03_evid0032,2019-09-21T03:38:46.437000Z,2326.3999999999996
